id,name,type,is_seed
MMathisLab,Mackenzie Mathis,user,True
AlexEMG,Alexander Mathis,user,True
dangkhoasdc,Le Tan Dang Khoa,user,False
roshray,Ray,user,False
cmsflash,Shen Zhuoran,user,False
amnbkshi,Aman Bakshi,user,False
ayanbag,Ayan Bag,user,False
quocdat32461997,Dat Ngo,user,False
murielmazzetto,murielmazzetto,user,False
nileshnegi,Nilesh M Negi,user,False
manmeetkaurbaxi,Manmeet Kaur Baxi,user,False
adimajo,adimajo,user,False
sophiaas,Sophia Sanborn,user,False
sazio,Simone Azeglio,user,False
pitmonticone,Pietro Monticone,user,False
lrnzgiusti,Lorenzo Giusti,user,False
david-klindt,david-klindt,user,False
Pseudomanifold,Bastian Rieck,user,False
Animadversio,Binxu,user,False
zhimin-z,Zhmin Zhao,user,False
Gabe-YHLee,Yonghyeon Lee,user,False
hsirm,Hossein Mirzaei,user,False
rickyjericevich,Ricardo Jericevich,user,False
agiovann,Andrea Giovannucci,user,False
epnev,eftychios pnevmatikakis,user,False
valentina-s,Valentina Staneva,user,False
ecobost,Erick Cobos,user,False
ulfschnabel,ulfschnabel,user,False
neurodroid,Christoph Schmidt-Hieber,user,False
Danieldemalmazet,Danieldemalmazet,user,False
bensondaled,bensondaled,user,False
deep-introspection,Guillaume Dumas,user,False
Ron89,HE Chong,user,False
mvirgo,Michael Virgo,user,False
stes,Steffen Schneider,user,False
gonlairo,Rodrigo González Laiz,user,False
CeliaBenquet,Célia Benquet,user,False
jinhl9,Jin Hwa Lee,user,False
icarosadero,Ícaro,user,False
introspective-swallow,Guillem Fernandez Rodriguez,user,False
eltociear,Ikko Eltociear Ashimine,user,False
sofiagilardini,Sofia Gilardini,user,False
timonmerk,timonmerk,user,False
jeromelecoq,Jerome Lecoq,user,False
C-Achard,Cyril Achard,user,False
vidalmaxime,Maxime Vidal,user,False
jeylau,Jessy Lauer,user,False
constantinpape,Constantin Pape,user,False
kannanuv,Kannan U V,user,False
kylemcdonald,Kyle McDonald,user,False
dimitri-yatsenko,Dimitri Yatsenko,user,False
olakiril,Emmanouil Froudarakis,user,False
cathryn1,cathryn1,user,False
fabiansinz,Fabian Sinz,user,False
jakereimer,Jacob Reimer,user,False
eywalker,Edgar Y. Walker,user,False
paulgfahey,paulgfahey,user,False
austin-hilberg,Austin Hilberg,user,False
kimehta,Kevin Mehta,user,False
mspacek,Martin Spacek,user,False
mahos,mahos,user,False
FlorianFranzen,Florian Franzen,user,False
edgera,edgera,user,False
n-poulsen,Niels,user,False
gitter-badger,The Gitter Badger,user,False
TrellixVulnTeam,TrellixVulnTeam,user,False
maximpavliv,maximpavliv,user,False
yeshaokai,shaokai,user,False
KonradDanielewski,Konrad,user,False
hmaarrfk,Mark Harfouche,user,False
anandcpanchal,Anand Panchal,user,False
QuentinJGMace,QuentinJGMace,user,False
glopesdev,glopesdev,user,False
ekellbuch,E. Kelly Buchanan,user,False
waq1129,Anqi Wu,user,False
md-121,Maurice Deserno,user,False
jpellman,John Pellman,user,False
maflister,Matt Flister,user,False
pv,Pauli Virtanen,user,False
scottza,Scott Sinclair,user,False
roya0045,Alex,user,False
quintusdias,John G Evans,user,False
rgommers,Ralf Gommers,user,False
squiba,squiba,user,False
WarrenWeckesser,Warren Weckesser,user,False
ReptilianBrain,Christian Gagnon,user,False
josephcslater,Joseph C. Slater,user,False
mpastell,Matti Pastell,user,False
gkane26,Gary Kane,user,False
hausmanns,Sébastien H.,user,False
2point0,qui,user,False
sachinruk,Sachin Abeywardana,user,False
picarus,Jose Antonio Magaña Mesa,user,False
halhenke,Hal Henke,user,False
nkbt,Nikita Butenko,user,False
DonnieKim411,Donnie Kim,user,False
margolislab,margolislab,user,False
wielandbrendel,Wieland Brendel,user,False
aecker,Alexander Ecker,user,False
jonasrauber,Jonas Rauber,user,False
aboettcher,aboettcher,user,False
WALIII,WALIII,user,False
burnash,Anton Burnashev,user,False
msuozzo,Matthew Suozzo,user,False
candeira,Javier Candeira,user,False
laike9m,laike9m,user,False
thebestmensch,James Mensch,user,False
pizzapanther,Paul Bailey,user,False
cstarner,Colin Starner,user,False
vanhineam,Adam Van Hine,user,False
m4rc1e,Marc Foley,user,False
tacaswell,Thomas A Caswell,user,False
calebweinreb,Caleb Weinreb,user,False
talmo,Talmo Pereira,user,False
versey-sherry,Sherry,user,False
mo-osman,Mohammed Osman,user,False
obarnstedt,Oliver Barnstedt,user,False
flxkuhn,Felix Kuhn,user,False
charithaomprakash,charitha omprakash,user,False
novacsilla,novacsilla,user,False
ArjunPutcha,Arjun Putcha,user,False
alisabak,alisabak,user,False
sofroniewn,Nicholas Sofroniew,user,False
freeman-lab,Jeremy Freeman,user,False
nealwu,Neal Wu,user,False
cshallue,Chris Shallue,user,False
martinwicke,Martin Wicke,user,False
bousmalis,Konstantinos Bousmalis,user,False
lukaszkaiser,Lukasz Kaiser,user,False
panyx0718,Xin Pan,user,False
sguada,Sergio Guadarrama,user,False
waterson,Chris Waterson,user,False
nmjohn,Nick Johnston,user,False
calberti,calberti,user,False
gordonberman,Gordon Berman,user,False
raacampbell,Rob Campbell,user,False
minrk,Min RK,user,False
jdfreder,Jonathan Frederic,user,False
Carreau,M Bussonnier,user,False
takluyver,Thomas Kluyver,user,False
mpacer,M Pacer,user,False
damianavila,Damian Avila,user,False
jhamrick,Jessica B. Hamrick,user,False
willingc,Carol Willing,user,False
ivanov,Paul Ivanov,user,False
ellisonbg,Brian E. Granger,user,False
nastya236,Anastasiia Filippova,user,False
SpencerBowles,SpencerBowles,user,False
vargas95,Alessandro Marin Vargas,user,False
sdascoli,Stéphane d'Ascoli,user,False
soerenab,soerenab,user,False
rcpeene,Carter Peene,user,False
colleenjg,Colleen J. Gillon,user,False
katrinaager,Katrina Ager,user,False
github-actions[bot],github-actions[bot],user,False
actions-user,actions-user,user,False
jagrawal36,jagrawal36,user,False
jiakunf,jiakunf,user,False
rajdbz11,Rajkumar Vasudeva Raju,user,False
neurochen,neurochen,user,False
morefigs,morefigs,user,False
orpinchasov,Or Pinchasof,user,False
vascotenner,Vasco Tenner,user,False
soundsc,soundsc,user,False
adrian-pps,adrian-pps,user,False
flysorter,flysorter,user,False
clade,Pierre Cladé,user,False
quigybo,Chris van Dijk,user,False
mounte,Daniel Wedlund,user,False
eric-wieser,Eric Wieser,user,False
GeraldEbberinkSaxion,GeraldEbberinkSaxion,user,False
petebachant,Pete Bachant,user,False
unidesigner,Stephan Gerhard,user,False
PTRRupprecht,Peter Rupprecht,user,False
danielmk,Daniel Müller-Komorowska,user,False
horsto,Horst Obenhaus,user,False
