id,name,type,is_seed
edwardando,Edward Andò,user,False
MalloryWittwer,Mallory Wittwer,user,False
faymanns,Florian Aymanns,user,False
richtefee,richtefee,user,False
joanrue,joanrue,user,False
SepandKashani,Sepand KASHANI,user,False
HaouchatY,Youssef Haouchat,user,False
rakibtg,Kazi Mehedi Hasan,user,False
akash-ju,akash-ju,user,False
akimul,Akimul Akash,user,False
dependabot[bot],dependabot[bot],user,False
mrocklin,Matthew Rocklin,user,False
jcrist,Jim Crist-Harif,user,False
jrbourbeau,James Bourbeau,user,False
cowlicks,cowlicks,user,False
jakirkham,jakirkham,user,False
jsignell,Julia Signell,user,False
rjzamora,Richard (Rick) Zamora,user,False
TomAugspurger,Tom Augspurger,user,False
sinhrks,Sinhrks,user,False
martindurant,Martin Durant,user,False
kevinyamauchi,Kevin Yamauchi,user,False
maud-barthelemy,maud-barthelemy,user,False
VStergiop,Vasiliki Stergiopoulou,user,False
jclandoni,Juan Cruz Landoni,user,False
aelefebv,Austin Epiphane Yann Tung-Shan Lefebvre,user,False
psobolewskiPhD,Peter Sobolewski,user,False
ThanhAnPham,Thanh-an Pham,user,False
erickmartins,Erick Martins Ratamero,user,False
mellertd,Dave Mellert,user,False
Tom-TBT,Tom Boissonnet,user,False
govekk,Kiya Govek,user,False
will-moore,Will Moore,user,False
fercer,Fernando Cervantes Sanchez,user,False
JensWendt,JensWendt,user,False
jo-mueller,Johannes Soltwedel,user,False
renovate[bot],renovate[bot],user,False
GoMatrixHosting,GoMatrixHosting,user,False
aine-etke,Aine,user,False
spantaleev,Slavi Pantaleev,user,False
sakkiii,sakkiii,user,False
thedanbob,Dan Arnfield,user,False
moan0s,Julian-Samuel Gebühr,user,False
benkuly,Benedict,user,False
HarHarLinks,Kim Brose,user,False
aaronraimist,Aaron Raimist,user,False
clementhelsens,Clement Helsens,user,False
BusraBulut222,BusraBulut222,user,False
tharvik,Valérian Rousset,user,False
github-actions[bot],github-actions[bot],user,False
beckermr,Matthew R. Becker,user,False
hmaarrfk,Mark Harfouche,user,False
isuruf,Isuru Fernando,user,False
CJ-Wright,Christopher J. 'CJ' Wright,user,False
xhochy,Uwe L. Korn,user,False
nfaggian,Nathan Faggian,user,False
almarklein,Almar Klein,user,False
chrisburr,Chris Burr,user,False
ocefpaf,Filipe,user,False
soccerdroid,Maria Belen Guaranda,user,False
purduephotog,purduephotog,user,False
Borda,Jirka Borovec,user,False
raamana,Pradeep Reddy Raamana,user,False
jan-janssen,Jan Janssen,user,False
cbrueffer,Christian Brueffer,user,False
norsimon,Simon F. Nørrelykke,user,False
scopatz,Anthony Scopatz,user,False
ewelinabartoszek,ewelinabartoszek,user,False
bgruening,Björn Grüning,user,False
fmeyenhofer,Felix Meyenhofer,user,False
synapticarbors,Joshua Adelman,user,False
romainGuiet,romainGuiet,user,False
StojiljkovicVetAna,Ana Stojiljkovic,user,False
guiwitz,Guillaume Witz,user,False
macromeer,Marco Meer,user,False
dmattek,Maciej Dobrzynski,user,False
ehrenfeu,Niko Ehrenfeuchter,user,False
ThomasVermoesenPsiQ,ThomasVermoesenPsiQ,user,False
aarpon,Aaron Ponti,user,False
amsikking,Alfred Millett-Sikking,user,False
2dav8,David Rebiffé,user,False
qianqing-wanggg,qianqing-wanggg,user,False
9and3,Andrea Settimi,user,False
C-Achard,Cyril Achard,user,False
cudmore,Robert Cudmore,user,False
VasudhaJha,Vasudha Jha,user,False
MMathisLab,Mackenzie Mathis,user,False
jeylau,Jessy Lauer,user,False
vidalmaxime,Maxime Vidal,user,False
anh42,Andreas Beney,user,False
fmx143,fmx143,user,False
Medidem13,Medidem13,user,False
shanral,Andrew,user,False
srcoulombe,srcoulombe,user,False
cpcloud,Phillip Cloud,user,False
quasiben,Benjamin Zaitlen,user,False
AddMELAB,AddMELAB,user,False
juan-coursera,juan-coursera,user,False
lmoroney,Laurence Moroney,user,False
MarkDaoust,Mark Daoust,user,False
AlbertDeFusco,Albert DeFusco,user,False
italoPontes,Ítalo de Pontes Oliveira,user,False
himalayanZephyr,himalayanZephyr,user,False
barnardb,Ben Barnard,user,False
saksham291,Saksham Bhushan,user,False
Utopiah,Fabien Benetou,user,False
jakevdp,Jake Vanderplas,user,False
ghchinoy,G. Hussain Chinoy,user,False
dmilon,Damien Milon,user,False
ssaunier,Sébastien Saunier,user,False
gmanchon,Gaëtan Manchon,user,False
Eschults,Edward Schults,user,False
krokrob,Kevin ROBERT,user,False
barangerbenjamin,Baranger Benjamin,user,False
Papillard,Boris Paillard,user,False
cmdoret,Cyril Matthey-Doret,user,False
simonc,Simon Courtois,user,False
sabinem,Sabine Maennel,user,False
marftn,Martin Fontanet,user,False
vancauwe,Laure Vancauwenberghe,user,False
rmfranken,Robin Franken,user,False
supermaxiste,supermaxiste,user,False
sabrinaossey,sabrinaossey,user,False
sierrayit,Sierra Yit,user,False
burkaman,Jeff Burka,user,False
primaulia,Prima Aulia Gusta,user,False
mmcky,Matt McKay,user,False
rowanc1,Rowan Cockett,user,False
chrisjsewell,Chris Sewell,user,False
jstac,John Stachurski,user,False
vincmazet,Vincent Mazet,user,False
choldgraf,Chris Holdgraf,user,False
particle1331,particle,user,False
t-fransson,Thomas Fransson,user,False
SDSTony,Tony (Sungjin) Ahn,user,False
sofroniewn,Nicholas Sofroniew,user,False
bsipocz,Brigitta Sipőcz,user,False
kne42,Kira Evans,user,False
tlambert03,Talley Lambert,user,False
