source,target,property,source_type,target_type
borellim,borellim/aiida_add,owner_of,user,repo
borellim,borellim/custom-chromium-scrollbar,owner_of,user,repo
borellim,borellim/ping,owner_of,user,repo
borellim,borellim/qe_sirius_on_daint,owner_of,user,repo
borellim,borellim/ut2004-ansible,owner_of,user,repo
borellim,borellim/aiida-codtools,contributor_of,user,repo
borellim,borellim/aiida-cp2k,contributor_of,user,repo
borellim,borellim/aiida-importer,contributor_of,user,repo
borellim,borellim/aiida-quantumespresso,contributor_of,user,repo
borellim,borellim/aiida-raspa,contributor_of,user,repo
borellim,borellim/aiida-tutorials,contributor_of,user,repo
borellim,borellim/aiida-wannier90,contributor_of,user,repo
borellim,borellim/aiida-zeopp,contributor_of,user,repo
borellim,borellim/aiida_core,contributor_of,user,repo
borellim,borellim/aiida_demos,contributor_of,user,repo
borellim,borellim/ansible-role-aiidalab,contributor_of,user,repo
borellim,borellim/dealii,contributor_of,user,repo
borellim,borellim/ePICURE,contributor_of,user,repo
borellim,borellim/fog-openstack,contributor_of,user,repo
borellim,borellim/hpc_workflow,contributor_of,user,repo
borellim,borellim/pytest-regressions,contributor_of,user,repo
borellim,borellim/q-e,contributor_of,user,repo
borellim,borellim/q-e-sirius,contributor_of,user,repo
borellim,borellim/quadlib,contributor_of,user,repo
borellim,borellim/SIRIUS,contributor_of,user,repo
borellim,borellim/spack,contributor_of,user,repo
ltalirz,ltalirz/aiida-ase-basic,owner_of,user,repo
ltalirz,ltalirz/aiida-discoverer,owner_of,user,repo
ltalirz,ltalirz/aiida-graph-render,owner_of,user,repo
ltalirz,ltalirz/aiida-gudhi,owner_of,user,repo
ltalirz,ltalirz/aiida-importer,owner_of,user,repo
ltalirz,ltalirz/aiida-on-azure,owner_of,user,repo
ltalirz,ltalirz/aiida-phtools,owner_of,user,repo
ltalirz,ltalirz/aiida-plugin-linter,owner_of,user,repo
ltalirz,ltalirz/aiida-psi4,owner_of,user,repo
ltalirz,ltalirz/ansible-playbook-dokku,owner_of,user,repo
ltalirz,ltalirz/ansible-role-distance-matrix,owner_of,user,repo
ltalirz,ltalirz/ase,owner_of,user,repo
ltalirz,ltalirz/asetk,owner_of,user,repo
ltalirz,ltalirz/atomistic-software,owner_of,user,repo
ltalirz,ltalirz/b2access-jupyterhub-config,owner_of,user,repo
ltalirz,ltalirz/bokeh-aiida-visualizer,owner_of,user,repo
ltalirz,ltalirz/bokeh-panel-conundrum,owner_of,user,repo
ltalirz,ltalirz/bounce,owner_of,user,repo
ltalirz,ltalirz/CCGenome,owner_of,user,repo
ltalirz,ltalirz/cif-parsing-benchmark,owner_of,user,repo
ltalirz,ltalirz/cp2k-workchain-visualizer,owner_of,user,repo
ltalirz,ltalirz/dftpicker,owner_of,user,repo
ltalirz,ltalirz/epw-school-2021,owner_of,user,repo
ltalirz,ltalirz/flask-sqlalchemy-circular-imports,owner_of,user,repo
ltalirz,ltalirz/FLOSIC,owner_of,user,repo
ltalirz,ltalirz/holoviews-dynamic-hover,owner_of,user,repo
ltalirz,ltalirz/idea-public,owner_of,user,repo
ltalirz,ltalirz/jsmol-bokeh-extension,owner_of,user,repo
ltalirz,ltalirz/json-lines-benchmark,owner_of,user,repo
ltalirz,ltalirz/livecoms-atomistic-software,owner_of,user,repo
ltalirz,ltalirz/livecoms-template-repository,owner_of,user,repo
ltalirz,ltalirz/lsmo-dash-app,owner_of,user,repo
ltalirz,ltalirz/ltalirz,owner_of,user,repo
ltalirz,ltalirz/ltalirz.github.io,owner_of,user,repo
ltalirz,ltalirz/mc-avatar,owner_of,user,repo
ltalirz,ltalirz/moodle-qformat_qtex,owner_of,user,repo
ltalirz,ltalirz/my-first-binder-renamed,owner_of,user,repo
ltalirz,ltalirz/open-7m-workout,owner_of,user,repo
ltalirz,ltalirz/optimade-webpage,owner_of,user,repo
ltalirz,ltalirz/prospector-pylint-absolute-import,owner_of,user,repo
ltalirz,ltalirz/QuestionTeX,owner_of,user,repo
ltalirz,ltalirz/singularity-recipe-zeopp,owner_of,user,repo
ltalirz,ltalirz/spread,owner_of,user,repo
ltalirz,ltalirz/test-issue-template,owner_of,user,repo
ltalirz,ltalirz/upf-schema,owner_of,user,repo
ltalirz,ltalirz/util-programs,owner_of,user,repo
ltalirz,ltalirz/abinit-feedstock,contributor_of,user,repo
ltalirz,ltalirz/activate_aiida,contributor_of,user,repo
ltalirz,ltalirz/ADIS2023,contributor_of,user,repo
ltalirz,ltalirz/AEP,contributor_of,user,repo
ltalirz,ltalirz/aiida-code-registry,contributor_of,user,repo
ltalirz,ltalirz/aiida-codes,contributor_of,user,repo
ltalirz,ltalirz/aiida-core,contributor_of,user,repo
ltalirz,ltalirz/aiida-core-feedstock,contributor_of,user,repo
ltalirz,ltalirz/aiida-core-i18n,contributor_of,user,repo
ltalirz,ltalirz/aiida-cp2k,contributor_of,user,repo
ltalirz,ltalirz/aiida-cusp,contributor_of,user,repo
ltalirz,ltalirz/aiida-ddec,contributor_of,user,repo
ltalirz,ltalirz/aiida-diff,contributor_of,user,repo
ltalirz,ltalirz/aiida-dynamic-workflows,contributor_of,user,repo
ltalirz,ltalirz/aiida-lsmo,contributor_of,user,repo
ltalirz,ltalirz/aiida-metapkg,contributor_of,user,repo
ltalirz,ltalirz/aiida-nwchem,contributor_of,user,repo
ltalirz,ltalirz/aiida-nwchemex,contributor_of,user,repo
ltalirz,ltalirz/aiida-optimade,contributor_of,user,repo
ltalirz,ltalirz/aiida-orca,contributor_of,user,repo
ltalirz,ltalirz/aiida-plugin-cutter,contributor_of,user,repo
ltalirz,ltalirz/aiida-plugin-template,contributor_of,user,repo
ltalirz,ltalirz/aiida-pseudo,contributor_of,user,repo
ltalirz,ltalirz/aiida-quantumespresso,contributor_of,user,repo
ltalirz,ltalirz/aiida-raspa,contributor_of,user,repo
ltalirz,ltalirz/aiida-registry,contributor_of,user,repo
ltalirz,ltalirz/aiida-statefile-schedulers,contributor_of,user,repo
ltalirz,ltalirz/aiida-testing,contributor_of,user,repo
ltalirz,ltalirz/aiida-tutorials,contributor_of,user,repo
ltalirz,ltalirz/aiida-tutorials-latex,contributor_of,user,repo
ltalirz,ltalirz/aiidalab,contributor_of,user,repo
ltalirz,ltalirz/aiidalab-docker-stack,contributor_of,user,repo
ltalirz,ltalirz/aiidalab-eln,contributor_of,user,repo
ltalirz,ltalirz/aiidalab-epfl-supercomputers,contributor_of,user,repo
ltalirz,ltalirz/aiidalab-widgets-base,contributor_of,user,repo
ltalirz,ltalirz/aiida_demos,contributor_of,user,repo
ltalirz,ltalirz/aiida_docker_compose,contributor_of,user,repo
ltalirz,ltalirz/aio-pika-feedstock,contributor_of,user,repo
ltalirz,ltalirz/aldjemy,contributor_of,user,repo
ltalirz,ltalirz/aldjemy-feedstock,contributor_of,user,repo
ltalirz,ltalirz/ansible-cvmfs-client,contributor_of,user,repo
ltalirz,ltalirz/ansible-dokku,contributor_of,user,repo
ltalirz,ltalirz/ansible-lint,contributor_of,user,repo
ltalirz,ltalirz/ansible-miniconda,contributor_of,user,repo
ltalirz,ltalirz/ansible-role-quantum-espresso,contributor_of,user,repo
ltalirz,ltalirz/ansible-singularity,contributor_of,user,repo
ltalirz,ltalirz/API,contributor_of,user,repo
ltalirz,ltalirz/appmode-aiidalab,contributor_of,user,repo
ltalirz,ltalirz/architecture-center,contributor_of,user,repo
ltalirz,ltalirz/article_templates,contributor_of,user,repo
ltalirz,ltalirz/atomate,contributor_of,user,repo
ltalirz,ltalirz/awesome-materials-informatics,contributor_of,user,repo
ltalirz,ltalirz/az-hop,contributor_of,user,repo
ltalirz,ltalirz/azhpc-images,contributor_of,user,repo
ltalirz,ltalirz/azure-cli-core-feedstock,contributor_of,user,repo
ltalirz,ltalirz/azure-docs,contributor_of,user,repo
ltalirz,ltalirz/azure-functions-core-tools,contributor_of,user,repo
ltalirz,ltalirz/azurehpc,contributor_of,user,repo
ltalirz,ltalirz/azurehpc-health-checks,contributor_of,user,repo
ltalirz,ltalirz/basis_set_exchange,contributor_of,user,repo
ltalirz,ltalirz/bokeh,contributor_of,user,repo
ltalirz,ltalirz/Bowler,contributor_of,user,repo
ltalirz,ltalirz/calc_pe,contributor_of,user,repo
ltalirz,ltalirz/cclib,contributor_of,user,repo
