id,name,type,is_seed
borellim,Marco Borelli,user,False
ltalirz,Leopold Talirz,user,False
superstar54,Xing Wang,user,False
nicolamarzari,Nicola Marzari,user,False
eimrek,Kristjan Eimre,user,False
waychal,Snehal Kumbhar,user,False
Bud-Macaulay,Bud-Macaulay,user,False
elsapassaro,Elsa Passaro,user,False
cepellotti,cepellotti,user,False
giovannipizzi,Giovanni Pizzi,user,False
szoupanos,szoupanos,user,False
lekah,lekah,user,False
sphuber,Sebastiaan Huber,user,False
fernandogargiulo1986,Fernando Gargiulo,user,False
DropD,Rico Haeuselmann,user,False
greschd,Dominik Gresch,user,False
muhrin,Martin Uhrin,user,False
dependabot[bot],dependabot[bot],user,False
kjappelbaum,Kevin M Jablonka,user,False
mikibonacci,Miki Bonacci,user,False
SeyedMohamadMoosavi,Mohamad Moosavi,user,False
egabancho,Esteban J. G. Gabancho,user,False
wgresshoff,Werner Greßhoff,user,False
mvidalgarcia,Marco Vidal García,user,False
lnielsen,Lars Holm Nielsen,user,False
inveniobot,InvenioBot,user,False
danieleongari,Daniele Ongari,user,False
jirikuncar,Jiri Kuncar,user,False
alizeepace,Alizée Pace,user,False
slint,Alex Ioannidis,user,False
ntarocco,Nicola,user,False
tiborsimko,Tibor Šimko,user,False
Glignos,Glignos,user,False
dinosk,Dinos Kousidis,user,False
ChiaraBi,ChiaraBi,user,False
SamiHiltunen,Sami Hiltunen,user,False
zzacharo,Zacharias Zacharodimos,user,False
topless,Christos Topaloudis,user,False
drjova,Harris Tzovanakis,user,False
kaplun,Samuele Kaplun,user,False
switowski,Sebastian Witowski,user,False
jmartinm,Javier Martin Montull,user,False
kneczaj,Kamil Neczaj,user,False
pedrogaudencio,Pedro Gaudêncio,user,False
jalavik,Jan Åge Lavik,user,False
crepererum,Marco Neumann,user,False
Crivella,Davide Grassano,user,False
jeromecaffaro,jeromecaffaro,user,False
sponce24,Samuel Poncé,user,False
greut,Yoan Blanc,user,False
dou-du,Dou Du,user,False
amitkumardeol,Amit Kumar,user,False
CasperWA,Casper Welzel Andersen,user,False
unkcpz,Jusong Yu,user,False
Luthaf,Guillaume Fraux,user,False
hodovani,Matvii Hodovaniuk,user,False
mpougin,mpougin,user,False
raimon-fa,raimon-fa,user,False
jbenito3,Jose Benito Gonzalez Lopez,user,False
fenekku,Guillaume Viger,user,False
vgranata,Valeria Granata,user,False
saragon02,saragon02,user,False
Taylor-96,Taylor-96,user,False
bot-optimade,OPTIMADE Bot,user,False
JPBergsma,Johan Bergsma,user,False
ml-evs,Matthew Evans,user,False
dwinston,Donny Winston,user,False
wuxiaohua1011,Michael Wu,user,False
tpurcell90,Thomas Purcell,user,False
npaulish,npaulish,user,False
markus1978,Markus Scheidgen,user,False
SharanRP,Sharan Poojari,user,False
mb-wali,mb-wali,user,False
jrcastro2,Javier,user,False
jennur,Jenny Bonsak,user,False
kpsherva,Karolina,user,False
alejandromumo,Manuel Alejandro,user,False
max-moser,Max,user,False
edan-bainglass,Edan Bainglass,user,False
nscolonna,Nicola Colonna,user,False
degennar,Riccardo De Gennaro,user,False
qiaojunfeng,Junfeng Qiao,user,False
Pineirin,Pablo García Marcos,user,False
elinscott,Edward Linscott,user,False
audrium,Audrius Mečionis,user,False
rekt-hard,David,user,False
pietrodelugas,Pietro Delugas,user,False
gfratesi,Guido Fratesi,user,False
mesonepigreco,Lorenzo Monacelli,user,False
proelli,proelli,user,False
demiranda-gabriel,Gabriel de Miranda,user,False
bastonero,Lorenzo,user,False
zskb,zskb,user,False
KrisCer,KrisCer,user,False
benjaminmeyer6,benjaminmeyer6,user,False
astrobot-houston,Houston (Bot),user,False
materialscloud-org,Materials Cloud,org,True
aiidalab,AiiDAlab,org,False
aiidateam,AiiDA team,org,False
marvel-nccr,MARVEL NCCR,org,False
godby-group,Godby Group,org,False
yrm2017,ETSF Young Researchers Meeting 2017,org,False
conda-forge,conda-forge,org,False
dokku,Dokku,org,False
Materials-Consortia,Open Databases Integration for Materials Design,org,False
iDEA-org,iDEA,org,False
lsmo-epfl,lsmo-epfl,org,False
NIST-ISODB,NIST Adsorption Data Resources,org,False
matscreen,MatScreen,org,False
beautiful-atoms,Beautiful Atoms,org,False
nanotech-empa,nanotech-empa,org,False
materialscloud-org/issues,issues,repo,False
materialscloud-org/discover-cofs,discover-cofs,repo,False
materialscloud-org/aiida_core,aiida_core,repo,False
materialscloud-org/frontend-theme,frontend-theme,repo,False
materialscloud-org/sycofinder,sycofinder,repo,False
materialscloud-org/tools-barebone,tools-barebone,repo,False
materialscloud-org/tools-example,tools-example,repo,False
materialscloud-org/tools-phonon-dispersion,tools-phonon-dispersion,repo,False
materialscloud-org/tools-seekpath,tools-seekpath,repo,False
materialscloud-org/discover-mofs,discover-mofs,repo,False
materialscloud-org/tailcorrection_materials_cloud_entry,tailcorrection_materials_cloud_entry,repo,False
materialscloud-org/aiida-explorer-container,aiida-explorer-container,repo,False
materialscloud-org/invenio-s3,invenio-s3,repo,False
materialscloud-org/discover-curated-cofs,discover-curated-cofs,repo,False
materialscloud-org/invenio-rest,invenio-rest,repo,False
materialscloud-org/invenio-oauth2server,invenio-oauth2server,repo,False
