source,target,property,source_type,target_type
ansvonwa,ansvonwa/advent-of-sed-2021,owner_of,user,repo
ansvonwa,ansvonwa/adventofcode2020,owner_of,user,repo
ansvonwa,ansvonwa/AG,owner_of,user,repo
ansvonwa,ansvonwa/AlgoDS18,owner_of,user,repo
ansvonwa,ansvonwa/ArduinoMCPlugin,owner_of,user,repo
ansvonwa,ansvonwa/cmpld,owner_of,user,repo
ansvonwa,ansvonwa/Elwms,owner_of,user,repo
ansvonwa,ansvonwa/frisbee,owner_of,user,repo
ansvonwa,ansvonwa/HamiltonSolver,owner_of,user,repo
ansvonwa,ansvonwa/my_search,owner_of,user,repo
ansvonwa,ansvonwa/NinaRow,owner_of,user,repo
ansvonwa,ansvonwa/Or-Tools-Scala,owner_of,user,repo
ansvonwa,ansvonwa/PDF-talk,owner_of,user,repo
ansvonwa,ansvonwa/ScalaJS-for-PDF,owner_of,user,repo
ansvonwa,ansvonwa/SciCompSheet05,owner_of,user,repo
ansvonwa,ansvonwa/VoteBot,owner_of,user,repo
ansvonwa,ansvonwa/7-billion-humans-solutions,contributor_of,user,repo
ansvonwa,ansvonwa/7billionhumans,contributor_of,user,repo
ansvonwa,ansvonwa/conexp-clj,contributor_of,user,repo
ansvonwa,ansvonwa/CoreNLP,contributor_of,user,repo
ansvonwa,ansvonwa/dotty,contributor_of,user,repo
ansvonwa,ansvonwa/FerrofluidSimulation,contributor_of,user,repo
ansvonwa,ansvonwa/hamiltonVisualizer,contributor_of,user,repo
ansvonwa,ansvonwa/Leucine,contributor_of,user,repo
ansvonwa,ansvonwa/sbt-site,contributor_of,user,repo
ansvonwa,ansvonwa/scala,contributor_of,user,repo
ansvonwa,ansvonwa/scala-collection-laws,contributor_of,user,repo
ansvonwa,ansvonwa/scalafix,contributor_of,user,repo
ansvonwa,ansvonwa/vegarando,contributor_of,user,repo
ansvonwa,ansvonwa/youtube-dl,contributor_of,user,repo
ansvonwa,ansvonwa/YoutubeNonStop,contributor_of,user,repo
amirsh,amirsh/ada-ana,owner_of,user,repo
amirsh,amirsh/amirsh.github.com,owner_of,user,repo
amirsh,amirsh/arith-dsl,owner_of,user,repo
amirsh,amirsh/benchmarking-scala-manifests,owner_of,user,repo
amirsh,amirsh/cake-benchmark,owner_of,user,repo
amirsh,amirsh/ChocoTest,owner_of,user,repo
amirsh,amirsh/field-dsl,owner_of,user,repo
amirsh,amirsh/Forge-Provider,owner_of,user,repo
amirsh,amirsh/Jipopt-scala-test,owner_of,user,repo
amirsh,amirsh/master-thesis-graphs,owner_of,user,repo
amirsh,amirsh/mini-dblab,owner_of,user,repo
amirsh,amirsh/SCalAnalyser,owner_of,user,repo
amirsh,amirsh/slick-type-provider-example,owner_of,user,repo
amirsh,amirsh/sprinter-macro-test,owner_of,user,repo
amirsh,amirsh/typemacros-test,owner_of,user,repo
amirsh,amirsh/autodiff2,contributor_of,user,repo
amirsh,amirsh/bigdata-synthesis,contributor_of,user,repo
amirsh,amirsh/BigDatalog,contributor_of,user,repo
amirsh,amirsh/CakeTests,contributor_of,user,repo
amirsh,amirsh/databench,contributor_of,user,repo
amirsh,amirsh/dblab,contributor_of,user,repo
amirsh,amirsh/dbtoaster-a5,contributor_of,user,repo
amirsh,amirsh/Delite,contributor_of,user,repo
amirsh,amirsh/dice,contributor_of,user,repo
amirsh,amirsh/Dice.jl,contributor_of,user,repo
amirsh,amirsh/efftp,contributor_of,user,repo
amirsh,amirsh/egg,contributor_of,user,repo
amirsh,amirsh/Forge,contributor_of,user,repo
amirsh,amirsh/Forge-archive,contributor_of,user,repo
amirsh,amirsh/FSharp.Data,contributor_of,user,repo
amirsh,amirsh/futhark-ad,contributor_of,user,repo
amirsh,amirsh/jzy3d-demo,contributor_of,user,repo
amirsh,amirsh/leon,contributor_of,user,repo
amirsh,amirsh/make-release-notes,contributor_of,user,repo
amirsh,amirsh/MorpheusPy,contributor_of,user,repo
amirsh,amirsh/Play20,contributor_of,user,repo
amirsh,amirsh/quickstep-datalog,contributor_of,user,repo
amirsh,amirsh/radlog,contributor_of,user,repo
amirsh,amirsh/RecStep,contributor_of,user,repo
amirsh,amirsh/rsdd,contributor_of,user,repo
amirsh,amirsh/s4gnuplot,contributor_of,user,repo
amirsh,amirsh/scala,contributor_of,user,repo
amirsh,amirsh/scala-ide,contributor_of,user,repo
amirsh,amirsh/scala-ide-play2,contributor_of,user,repo
amirsh,amirsh/scala-native,contributor_of,user,repo
amirsh,amirsh/scala-offheap,contributor_of,user,repo
amirsh,amirsh/scala-records,contributor_of,user,repo
amirsh,amirsh/scala-worksheet,contributor_of,user,repo
amirsh,amirsh/scaladiagrams,contributor_of,user,repo
amirsh,amirsh/ScalaZ3,contributor_of,user,repo
amirsh,amirsh/slick,contributor_of,user,repo
amirsh,amirsh/slick-examples,contributor_of,user,repo
amirsh,amirsh/slotted-egraphs,contributor_of,user,repo
amirsh,amirsh/souffle-benchmarks,contributor_of,user,repo
amirsh,amirsh/squall,contributor_of,user,repo
amirsh,amirsh/staged-streams.scala,contributor_of,user,repo
amirsh,amirsh/taco,contributor_of,user,repo
amirsh,amirsh/tpch-dbgen,contributor_of,user,repo
amirsh,amirsh/virtualization-lms-core,contributor_of,user,repo
amirsh,amirsh/yin-yang,contributor_of,user,repo
amirsh,amirsh/YMITSCompetition,contributor_of,user,repo
adpi2,adpi2/3DViewerProto,owner_of,user,repo
adpi2,adpi2/alabast,owner_of,user,repo
adpi2,adpi2/astone,owner_of,user,repo
adpi2,adpi2/benchmark,owner_of,user,repo
adpi2,adpi2/CSharpContest,owner_of,user,repo
adpi2,adpi2/CsPaxos,owner_of,user,repo
adpi2,adpi2/dotty-10012,owner_of,user,repo
adpi2,adpi2/dotty-10123,owner_of,user,repo
adpi2,adpi2/hello-goodbye,owner_of,user,repo
adpi2,adpi2/InCassandra,owner_of,user,repo
adpi2,adpi2/sbt-6552,owner_of,user,repo
adpi2,adpi2/sbt-6925,owner_of,user,repo
adpi2,adpi2/sbt-bloop-twirl,owner_of,user,repo
adpi2,adpi2/sbt-plugin-example-diamond,owner_of,user,repo
adpi2,adpi2/scala-bug-12357,owner_of,user,repo
adpi2,adpi2/scala3-full-stack-example,owner_of,user,repo
adpi2,adpi2/scalajs-19,owner_of,user,repo
adpi2,adpi2/ScalaPaxos,owner_of,user,repo
adpi2,adpi2/sculpt-jug-demo,owner_of,user,repo
adpi2,adpi2/sttp-example,owner_of,user,repo
adpi2,adpi2/apps,contributor_of,user,repo
adpi2,adpi2/bloop,contributor_of,user,repo
adpi2,adpi2/build-server-protocol,contributor_of,user,repo
adpi2,adpi2/call-for-paper,contributor_of,user,repo
adpi2,adpi2/case-app,contributor_of,user,repo
adpi2,adpi2/coursier,contributor_of,user,repo
adpi2,adpi2/coursier-interface,contributor_of,user,repo
adpi2,adpi2/debug-adapter-protocol,contributor_of,user,repo
adpi2,adpi2/docs.scala-lang,contributor_of,user,repo
adpi2,adpi2/expression-evaluator,contributor_of,user,repo
adpi2,adpi2/fetch,contributor_of,user,repo
adpi2,adpi2/java-debug,contributor_of,user,repo
adpi2,adpi2/kebs,contributor_of,user,repo
adpi2,adpi2/launcher,contributor_of,user,repo
adpi2,adpi2/librarymanagement,contributor_of,user,repo
adpi2,adpi2/lsp4j,contributor_of,user,repo
adpi2,adpi2/lunatech-scala-2-to-scala3-course,contributor_of,user,repo
adpi2,adpi2/metals,contributor_of,user,repo
adpi2,adpi2/metals-vscode,contributor_of,user,repo
adpi2,adpi2/mill,contributor_of,user,repo
adpi2,adpi2/optimus-cirrus,contributor_of,user,repo
adpi2,adpi2/repos,contributor_of,user,repo
adpi2,adpi2/sbt,contributor_of,user,repo
adpi2,adpi2/sbt-1-5-0-RC1-loader-constraint-violation,contributor_of,user,repo
adpi2,adpi2/sbt-buildinfo,contributor_of,user,repo
adpi2,adpi2/sbt-coursier,contributor_of,user,repo
adpi2,adpi2/sbt-dependency-submission,contributor_of,user,repo
adpi2,adpi2/sbt-git,contributor_of,user,repo
adpi2,adpi2/sbt-jdi-tools,contributor_of,user,repo
adpi2,adpi2/sbt-jmh,contributor_of,user,repo
adpi2,adpi2/sbt-scalafix,contributor_of,user,repo
