id,name,type,is_seed
ansvonwa,Anselm von Wangenheim,user,False
amirsh,Amir Shaikhha,user,False
adpi2,Adrien Piquerez,user,False
bishabosha,Jamie Thompson,user,False
byeonggukgong,Byeongguk Gong,user,False
ashawley,Aaron S. Hawley,user,False
dottybot,dottybot,user,False
declan94,Ye Chen,user,False
dongxuwang,dongxuwang,user,False
hamzaremmal,Hamza Remmal,user,False
ckipp01,Chris Kipp,user,False
heathermiller,Heather Miller,user,False
janekdb,Janek Bogucki,user,False
jarrodu,Jarrod Urban,user,False
dwijnand,Dale Wijnand,user,False
eed3si9n,eugene yokota,user,False
joroKr21,Georgi Krastev,user,False
jiminhsieh,Jimin Hsieh,user,False
jvican,Jorge,user,False
kasiaMarek,Katarzyna Marek,user,False
KacperFKorban,Kacper Korban,user,False
jxnu-liguobin,梦境迷离,user,False
noti0na1,noti0na1,user,False
mbovel,Matt Bovel,user,False
OndrejSpanel,Ondřej Španěl,user,False
lrytz,Lukas Rytz,user,False
Philippus,Philippus Baalman,user,False
retronym,Jason Zaugg,user,False
smarter,Guillaume Martres,user,False
sjrd,Sébastien Doeraene,user,False
zielinsky,Zieliński Patryk,user,False
SethTisue,Seth Tisue,user,False
tanishiking,Rikito Taniguchi,user,False
paulp,Paul Phillips,user,False
jamie-allen,Jamie Allen,user,False
adriaanm,Adriaan Moors,user,False
albasile,Antonio Luiz Basile,user,False
ViniciusMiana,Vinicius Miana,user,False
hvesalai,Heikki Vesalainen,user,False
jsuereth,Josh Suereth,user,False
som-snytt,som-snytt,user,False
gkossakowski,Grzegorz Kossakowski,user,False
odersky,odersky,user,False
Kordyjan,Paweł Marks,user,False
julienrf,Julien Richard-Foy,user,False
travissarles,Travis,user,False
artemkorsakov,Artem Korsakov,user,False
anatoliykmetyuk,Anatolii Kmetiuk,user,False
phaller,Philipp Haller,user,False
xeno-by,Eugene Burmako,user,False
benluo,Ben Luo,user,False
dragos,Iulian Dragos,user,False
dotta,Mirco Dotta,user,False
alexarchambault,Alexandre Archambault,user,False
axel22,Aleksandar Prokopec,user,False
huitseeker,François Garillot,user,False
theBlackDragon,Bert Geens,user,False
havocp,Havoc Pennington,user,False
dzufferey,Damien Zufferey,user,False
szeiger,Stefan Zeiger,user,False
VladUreche,Vlad Ureche,user,False
emchristiansen,Eric Christiansen,user,False
gourlaysama,Antoine Gourlay,user,False
dubinsky,Leonid Dubinsky,user,False
backuitist,Bruno Bieth,user,False
dependabot[bot],dependabot[bot],user,False
dchenbecker,Derek Chen-Becker,user,False
nicolasstucki,Nicolas Stucki,user,False
liufengyun,Fengyun Liu,user,False
DarkDimius,Dmitry Petrashko,user,False
danslapman,danslapman,user,False
TiarkRompf,Tiark Rompf,user,False
felixmulder,Felix Mulder,user,False
andy1138,Andy Hicks,user,False
Sciss,Sciss,user,False
benhutchison,Ben Hutchison,user,False
Ichoran,Ichoran,user,False
xuwei-k,kenji yoshida,user,False
NightRa,Ilan Godik,user,False
ruippeixotog,Rui Gonçalves,user,False
giabao,Bùi Việt Thành,user,False
samarion,Nicolas Voirol,user,False
Lewix,Lewis Brown,user,False
odd,Odd Möller,user,False
andrewconner,Andrew Conner,user,False
evanbennett,Evan Bennett,user,False
bradwright,Brad Wright,user,False
rtfpessoa,Rodrigo Fernandes,user,False
yuchangyuan,Yu Changyuan,user,False
SnapCracklePopGone,SnapCracklePopGone,user,False
medovina,Adam Dingle,user,False
liancheng,Cheng Lian,user,False
kiritsuku,Liara,user,False
teldosas,Aristotelis Dossas,user,False
fdietze,Felix Dietze,user,False
vjovanov,Vojin Jovanovic,user,False
milessabin,Miles Sabin,user,False
olafurpg,Ólafur Páll Geirsson,user,False
dickwall,Dick Wall,user,False
2m,Martynas Mickevičius,user,False
magarciaEPFL,Miguel Garcia,user,False
slandelle,Stephane Landelle,user,False
mpociecha,Michał Pociecha,user,False
cvogt,Jan Christopher Vogt,user,False
travisbrown,Travis Brown,user,False
jdillon,Jason Dillon,user,False
hns,Hannes Wallnoefer,user,False
trptcolin,Colin Jones,user,False
fantasyzh,fantasyzh,user,False
gnodet,Guillaume Nodet,user,False
bgerm,Bryan Germann,user,False
headius,Charles Oliver Nutter,user,False
cosmin,Cosmin Stejerean,user,False
scala-steward,Scala Steward,user,False
darjutak,darjutak,user,False
fsalvi,fsalvi,user,False
JoseTrendix,José Alcántara,user,False
ShapelessCat,"Lan, Jian",user,False
allanrenucci,Allan Renucci,user,False
ohze,ohze.net,user,False
marcelocenerine,Marcelo Cenerino,user,False
unkarjedy,Dmitrii Naumenko,user,False
danieletorelli,Daniele Torelli,user,False
biboudis,Aggelos Biboudis,user,False
soc,soc,user,False
aoiroaoino,Naoki Aoyama,user,False
seblm,Sébastian Le Merdy,user,False
amaya382,Ryuichi Ito,user,False
Marcono1234,Marcono1234,user,False
mtgto,Satoshi Goto,user,False
WojciechMazur,Wojciech Mazur,user,False
He-Pin,He-Pin(kerr),user,False
wsargent,Will Sargent,user,False
Jentsch,Jentsch,user,False
sh0hei,Shohei Shimomura,user,False
tgodzik,Tomasz Godzik,user,False
MaximeKjaer,Maxime Kjaer,user,False
PanAeon,PanAeon,user,False
boseabhishek,Abhishek Bose,user,False
camilaagw,Camila A. González Williamson,user,False
NthPortal,Marissa | April,user,False
ekrich,Eric K Richardson,user,False
linasm,Linas Medžiūnas,user,False
kiendang,Kien Dang,user,False
erikvanoosten,Erik van Oosten,user,False
griggt,Tom Grigg,user,False
MasseGuillaume,Guillaume Massé (马赛卫),user,False
vincenzobaz,Vinz,user,False
romanowski,Krzysztof Romanowski,user,False
gdiet,gdiet,user,False
Duhemm,Martin Duhem,user,False
lukaszwawrzyk,Łukasz Wawrzyk,user,False
BalmungSan,Luis Miguel Mejía Suárez,user,False
scala-improvement-bot,Scala Improvement Bot,user,False
lihaoyi,Li Haoyi,user,False
gkepka,gkepka,user,False
szymon-rd,Simon R,user,False
kyouko-taiga,Dimi Racordon,user,False
lightsing,Akase Haruka,user,False
Friendseeker,Jerry Tan,user,False
bjornregnell,Bjorn Regnell,user,False
lefou,Tobias Roeser,user,False
sideeffffect,Ondra Pelech,user,False
scala,The Scala Programming Language,org,True
scala-ide,Eclipse Scala IDE,org,False
slick,Scala Language-Integrated Connection Kit,org,False
DevMine,DevMine,org,False
lampepfl,Programming Methods Laboratory EPFL,org,False
build-server-protocol,Build Server Protocol,org,False
scalameta,scalameta,org,False
mau-game,mau-game,org,False
scalacenter,Scala Center,org,False
sbt,sbt,org,False
donebox,Donebox,org,False
team2do,Team2do,org,False
SpeakEZ,MIL Development,org,False
scala-workshop,The Scala Workshop,org,False
NixOS,Nix/Nixpkgs/NixOS,org,False
versus-project,Versus,org,False
sdkman,SDKMAN!,org,False
VCA-EPFL,VCA-EPFL,org,False
scaladays,Scala Days,org,False
apache,The Apache Software Foundation,org,False
scoverage,scoverage,org,False
Professional-Scala,Professional Scala,org,False
foundweekends,foundweekends,org,False
playframework,Play Framework,org,False
unfiltered,unfiltered,org,False
scopt,scopt,org,False
scalajp,Japan Scala Users Group (ScalaJP),org,False
scalamatsuri,ScalaMatsuri team | 準備委員会,org,False
emmalanguage,Emma,org,False
stratosphere,stratosphere,org,False
typelevel,typelevel.scala,org,False
twjug,Taiwan Java User Group,org,False
scalaplatform,Scala Platform,org,False
CakeML,CakeML,org,False
epfl-systemf,SYSTEMF,org,False
sovt,sovt,org,False
dotty-staging,dotty-staging,org,False
playcommunity,PlayScala社区,org,False
SymphonyQL,SymphonyQL,org,False
bitlap,bitlap,org,False
Powercoders-Switzerland,Powercoders Switzerland,org,False
epfl-lara,EPFL-LARA,org,False
OpenGrabeso,OpenGrabeso,org,False
scalaz,Scalaz,org,False
OpenHEVC,OpenHEVC,org,False
xiph,Xiph.Org Foundation,org,False
mozart,"Mozart, an implementation of Oz",org,False
scala-js,Scala.js,org,False
fram-lang,Fram,org,False
neon-pi-lang,neon-pi-lang,org,False
scalawags,The Scalawags,org,False
scalacommunitybuild,Scala Community Build,org,False
scala-native,Scala Native,org,False
scala-waiwai-land,Scalaわいわいランド,org,False
camphor-,CAMPHOR-,org,False
prg-titech,Programming Research Group @ Science Tokyo (nee TokyoTech),org,False
scala/legacy-svn-scala,legacy-svn-scala,repo,False
scala/scala-dist,scala-dist,repo,False
scala/actors-migration,actors-migration,repo,False
scala/scala-library-all,scala-library-all,repo,False
scala/scala-lang,scala-lang,repo,False
scala/docs.scala-lang,docs.scala-lang,repo,False
scala/scala,scala,repo,False
scala/scala-async,scala-async,repo,False
scala/make-release-notes,make-release-notes,repo,False
scala/jenkins-scripts,jenkins-scripts,repo,False
scala/pickling,pickling,repo,False
scala/scala-partest,scala-partest,repo,False
scala/scala-partest-interface,scala-partest-interface,repo,False
scala/scala-xml,scala-xml,repo,False
scala/scala-parser-combinators,scala-parser-combinators,repo,False
scala/community-build,community-build,repo,False
scala/sbt-scala-module,sbt-scala-module,repo,False
scala/scala-modules-build,scala-modules-build,repo,False
scala/scala3,scala3,repo,False
scala/scala-continuations,scala-continuations,repo,False
scala/scala-swing,scala-swing,repo,False
scala/scala-java8-compat,scala-java8-compat,repo,False
scala/scala-module-dependency-sample,scala-module-dependency-sample,repo,False
scala/scala-collection-laws,scala-collection-laws,repo,False
scala/scala-dist-smoketest,scala-dist-smoketest,repo,False
scala/scala-abide,scala-abide,repo,False
scala/scala-tool-support,scala-tool-support,repo,False
scala/scala-jenkins-infra,scala-jenkins-infra,repo,False
scala/scabot,scabot,repo,False
scala/compiler-benchmark,compiler-benchmark,repo,False
scala/slip,slip,repo,False
scala/scala-asm-legacy,scala-asm-legacy,repo,False
scala/scala-jline,scala-jline,repo,False
scala/scala-dev,scala-dev,repo,False
scala/scala.epfl.ch,scala.epfl.ch,repo,False
scala/scala3-example-project,scala3-example-project,repo,False
scala/collection-strawman,collection-strawman,repo,False
scala/scala-seed.g8,scala-seed.g8,repo,False
scala/scala-parallel-collections,scala-parallel-collections,repo,False
scala/compiler-benchq,compiler-benchq,repo,False
scala/bug,bug,repo,False
scala/hello-world.g8,hello-world.g8,repo,False
scala/scala3-cross.g8,scala3-cross.g8,repo,False
scala/scala3.g8,scala3.g8,repo,False
scala/scala-asm,scala-asm,repo,False
scala/scalatest-example.g8,scalatest-example.g8,repo,False
scala/vscode-scala-syntax,vscode-scala-syntax,repo,False
scala/graphviz-deb,graphviz-deb,repo,False
scala/scala-collection-compat,scala-collection-compat,repo,False
scala/scala-collection-contrib,scala-collection-contrib,repo,False
scala/scala3-staging.g8,scala3-staging.g8,repo,False
scala/dotty.epfl.ch,dotty.epfl.ch,repo,False
scala/compiler-interface,compiler-interface,repo,False
scala/scala3-tasty-inspector.g8,scala3-tasty-inspector.g8,repo,False
scala/scala-library-next,scala-library-next,repo,False
scala/gha-test,gha-test,repo,False
scala/scala3-mill-example-project,scala3-mill-example-project,repo,False
scala/.github,.github,repo,False
scala/improvement-proposals,improvement-proposals,repo,False
scala/toolkit,toolkit,repo,False
scala/cla-checker,cla-checker,repo,False
scala/scala3-lts,scala3-lts,repo,False
ansvonwa/AG,AG,repo,False
ansvonwa/7billionhumans,7billionhumans,repo,False
ansvonwa/7-billion-humans-solutions,7-billion-humans-solutions,repo,False
ansvonwa/advent-of-sed-2021,advent-of-sed-2021,repo,False
ansvonwa/adventofcode2020,adventofcode2020,repo,False
ansvonwa/AlgoDS18,AlgoDS18,repo,False
ansvonwa/conexp-clj,conexp-clj,repo,False
ansvonwa/cmpld,cmpld,repo,False
ansvonwa/ArduinoMCPlugin,ArduinoMCPlugin,repo,False
ansvonwa/CoreNLP,CoreNLP,repo,False
ansvonwa/Elwms,Elwms,repo,False
